country,year,yield_tons_ha,avg_temp,total_rainfall,avg_humidity,avg_solar,country_encoded
China,2008,4.762,6.8097540983606555,383.76,58.40390710382514,15.909371584699453,5
China,2009,4.739,7.502465753424658,317.36,57.968849315068496,15.085506849315069,5
China,2010,4.748399999999999,7.195643835616438,357.33,57.14898630136987,15.57627397260274,5
China,2011,4.8374,6.784054794520547,412.67,60.47824657534247,14.931342465753424,5
China,2012,4.986800000000001,6.5699453551912566,437.31,62.578333333333326,15.113688524590163,5
China,2013,5.0553,7.795342465753425,446.46,58.70791780821918,15.766849315068493,5
China,2014,5.2433000000000005,7.237671232876712,439.21000000000004,61.37150684931506,15.400082191780822,5
China,2015,5.3923000000000005,7.714219178082192,383.2,60.15468493150685,15.5906301369863,5
China,2016,5.396100000000001,7.881939890710383,386.14,59.63887978142077,16.114672131147543,5
China,2017,5.4838000000000005,7.71068493150685,483.25,60.62816438356164,15.321972602739727,5
China,2018,5.416300000000001,7.330109589041095,539.43,63.53323287671233,15.299068493150685,5
China,2019,5.6293999999999995,7.40117808219178,529.18,64.16745205479452,15.210219178082193,5
China,2020,5.7416,7.12844262295082,629.23,66.34300546448088,15.164699453551911,5
China,2021,5.8102,7.506164383561644,466.6,63.51082191780822,15.775260273972604,5
China,2022,5.8552,7.845780821917808,373.74,64.37501369863014,16.1186301369863,5
China,2023,5.7806999999999995,8.000328767123287,469.01,60.38898630136986,16.098438356164383,5
Egypt,2000,6.3422,20.958169398907103,0.44,39.10049180327869,23.323114754098363,6
Egypt,2001,6.358,21.78254794520548,0.42,36.909506849315065,23.34317808219178,6
Egypt,2002,6.4345,21.970219178082193,1.25,37.00945205479452,23.22621917808219,6
Egypt,2003,6.500100000000001,21.86419178082192,0.2,35.34041095890411,23.07917808219178,6
Egypt,2004,6.5567,21.88775956284153,1.11,35.100846994535516,23.35360655737705,6
Egypt,2005,6.4929,21.66567123287671,1.25,36.97482191780822,23.231123287671235,6
Egypt,2006,6.4303,21.489287671232876,0.33,36.80591780821918,23.11876712328767,6
Egypt,2007,6.4673,21.76164383561644,0.67,36.558328767123285,23.195561643835614,6
Egypt,2008,6.503100000000001,22.065737704918035,3.7,35.85,23.349371584699455,6
Egypt,2009,6.382899999999999,21.821123287671234,0.2,34.31901369863014,23.16169863013699,6
Egypt,2010,5.5741000000000005,23.374931506849315,1.22,33.24139726027398,23.17021917808219,6
Egypt,2011,6.542800000000001,21.100931506849314,6.44,39.02597260273973,23.22780821917808,6
Egypt,2012,6.5823,21.71704918032787,1.84,36.462349726775955,22.84857923497268,6
Egypt,2013,6.6682,21.74605479452055,2.99,36.356,23.232849315068492,6
Egypt,2014,6.1752,22.172054794520548,1.17,37.138219178082196,23.28030136986301,6
Egypt,2015,6.5919,22.08594520547945,0.95,37.71567123287671,22.99591780821918,6
Egypt,2016,6.6311,22.124234972677595,28.470000000000002,39.52497267759563,23.15554644808743,6
Egypt,2017,6.8597,21.608520547945204,5.8100000000000005,40.04706849315068,23.203041095890413,6
